ID,物品名稱,拾獲地點,拾獲日期,特徵描述,圖片路徑,狀態
1,錢包,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_081454.jpg,未領取
2,水壺,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_082533.jpg,未領取
3,水壺,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_082604.jpg,未領取
4,水壺,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_082623.jpg,未領取
5,水壺,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_082650.jpg,已領回
6,軟球,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_085457.jpg,未領取
7,便當袋,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_085521.jpg,未領取
8,水壺,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_085546.jpg,未領取
9,白色棒球,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_085606.jpg,未領取
10,跳繩,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_085639.jpg,未領取
11,粉紅色跳繩,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_085723.jpg,未領取
12,藍色跳繩,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_085755.jpg,未領取
13,圍脖,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_085814.jpg,未領取
14,綠色水壺,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_085836.jpg,未領取
15,藍色泰迪熊,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_085903.jpg,未領取
16,飛盤一個,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_085930.jpg,未領取
17,毛巾,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_085951.jpg,未領取
18,藍色毛巾,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090009.jpg,未領取
19,玩具,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090110.jpg,未領取
20,折疊傘一把,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090142.jpg,未領取
21,方巾,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090213.jpg,未領取
22,直笛,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090234.jpg,未領取
23,保溫瓶,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090259.jpg,未領取
24,企鵝玩具,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090329.jpg,未領取
25,太陽眼鏡眼,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090354.jpg,未領取
26,剪刀,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090417.jpg,未領取
27,橡皮擦,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090444.jpg,未領取
28,原子筆,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090507.jpg,未領取
29,奧特曼機器人,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090527.jpg,未領取
30,束口袋,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090600.jpg,未領取
31,小白鴨玩偶,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090638.jpg,未領取
32,護具,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090702.jpg,未領取
33,硬式棒球球一顆,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090725.jpg,未領取
34,木頭跳繩,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090751.jpg,未領取
35,玩沙工具,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090813.jpg,未領取
36,毛根玩具,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090848.jpg,未領取
37,積木鑰匙圈,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090914.jpg,未領取
38,玩具,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_090950.jpg,未領取
39,塑膠玩具,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_091014.jpg,未領取
40,彩色筆,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_091036.jpg,未領取
41,髮圈,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_091200.jpg,未領取
42,外套,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_091234.jpg,未領取
43,綠色上衣一件,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_091326.jpg,未領取
44,外套,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_091355.jpg,未領取
45,淺紫色外套,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_091426.jpg,未領取
46,上衣,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_091458.jpg,未領取
47,點點外套,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_091523.jpg,未領取
48,短褲一件,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_091606.jpg,未領取
49,皮夾一個,合作社,2025-12-15,無特殊描述,uploaded_images/20251215_091913.jpg,未領取
50,悠遊卡,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_091954.jpg,未領取
51,電子手錶,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092022.jpg,未領取
52,小烏龜包包,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092043.jpg,未領取
53,小米手環綠色,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092103.jpg,未領取
54,白色小米手環,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092131.jpg,未領取
55,戰鬥陀螺,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092151.jpg,未領取
56,粉紅色手錶（手環）,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092217.jpg,未領取
57,深綠色小米手環,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092241.jpg,未領取
58,手環,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092304.jpg,未領取
59,淺藍色小米手環,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092333.jpg,未領取
60,手錶,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092405.jpg,未領取
61,粉紅色小小錢,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092425.jpg,未領取
62,梳子,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092457.jpg,未領取
63,酒精噴瓶,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092522.jpg,未領取
64,台北捷運悠遊卡學生票,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092549.jpg,未領取
65,白色小汽車,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092612.jpg,未領取
66,鑰匙一把,未提供,2025-12-15,無特殊描述,uploaded_images/20251215_092647.jpg,未領取
